"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg,category,exercise_id
"Walk/run, playing with children, vigorous",295,352,409,465,1.02972154029851,C,-1.0
Carrying small children,177,211,245,279,0.61742672238806,D,-1.0
"Loading, unloading car",177,211,245,279,0.61742672238806,D,-1.0
"Climbing hills, carrying up to 9 lbs",413,493,572,651,1.44133935522388,B,-1.0
"Climbing hills, carrying 10 to 20 lb",443,528,613,698,1.5449208119403,B,-1.0
"Climbing hills, carrying 21 to 42 lb",472,563,654,745,1.64782526567164,B,-1.0
"Climbing hills, carrying over 42 lb",531,633,735,838,1.85295717014925,A,-1.0
Walking downstairs,177,211,245,279,0.61742672238806,D,0.0
"Hiking, cross country",354,422,490,558,1.23485344477612,C,-1.0
Bird watching,148,176,204,233,0.515199271641791,D,-1.0
"Marching, rapidly, military",384,457,531,605,1.33843490149254,B,-1.0
"Children's games, hopscotch, dodgeball",295,352,409,465,1.02972154029851,C,-1.0
Pushing stroller or walking with children,148,176,204,233,0.515199271641791,D,0.0
Pushing a wheelchair,236,281,327,372,0.823235629850746,D,-1.0
Race walking,384,457,531,605,1.33843490149254,B,0.0
"Rock climbing, mountain climbing",472,563,654,745,1.64782526567164,B,26.0
Walking using crutches,295,352,409,465,1.02972154029851,C,0.0
Walking the dog,177,211,245,279,0.61742672238806,D,0.0
"Walking, under 2.0 mph, very slow",118,141,163,186,0.411617814925373,D,0.0
"Walking 2.0 mph, slow",148,176,204,233,0.515199271641791,D,0.0
Walking 2.5 mph,177,211,245,279,0.61742672238806,D,0.0
"Walking 3.0 mph, moderate",195,232,270,307,0.679710997014925,D,0.0
"Walking 3.5 mph, brisk pace",224,267,311,354,0.782615450746269,D,0.0
"Walking 3.5 mph, uphill",354,422,490,558,1.23485344477612,C,0.0
"Walking 4.0 mph, very brisk",295,352,409,465,1.02972154029851,C,0.0
Walking 4.5 mph,372,443,515,586,1.29713771940299,B,0.0
Walking 5.0 mph,472,563,654,745,1.64782526567164,B,0.0
"Boating, power, speed boat",148,176,204,233,0.515199271641791,D,-1.0
"Canoeing, camping trip",236,281,327,372,0.823235629850746,D,-1.0
"Canoeing, rowing, light",177,211,245,279,0.61742672238806,D,47.0
"Canoeing, rowing, moderate",413,493,572,651,1.44133935522388,B,47.0
"Canoeing, rowing, vigorous",708,844,981,1117,2.47106089552239,A,47.0
"Crew, sculling, rowing, competition",708,844,981,1117,2.47106089552239,A,47.0
Kayaking,295,352,409,465,1.02972154029851,C,-1.0
Paddle boat,236,281,327,372,0.823235629850746,D,-1.0
"Windsurfing, sailing",177,211,245,279,0.61742672238806,D,-1.0
"Sailing, competition",295,352,409,465,1.02972154029851,C,-1.0
"Sailing, yachting, ocean sailing",177,211,245,279,0.61742672238806,D,-1.0
"Skiing, water skiing",354,422,490,558,1.23485344477612,C,-1.0
Ski mobiling,413,493,572,651,1.44133935522388,B,-1.0
"Skin diving, fast",944,1126,1308,1489,3.29497352835821,A,-1.0
"Skin diving, moderate",738,880,1022,1163,2.57464235223881,A,-1.0
"Skin diving, scuba diving",413,493,572,651,1.44133935522388,B,-1.0
Snorkeling,295,352,409,465,1.02972154029851,C,-1.0
"Surfing, body surfing or board surfing",177,211,245,279,0.61742672238806,D,-1.0
"Whitewater rafting, kayaking, canoeing",295,352,409,465,1.02972154029851,C,-1.0
"Swimming laps, freestyle, fast",590,704,817,931,2.05944308059702,A,4.0
"Swimming laps, freestyle, slow",413,493,572,651,1.44133935522388,B,4.0
Swimming backstroke,413,493,572,651,1.44133935522388,B,4.0
Swimming breaststroke,590,704,817,931,2.05944308059702,A,4.0
Swimming butterfly,649,774,899,1024,2.2652519880597,A,4.0
"Swimming leisurely, not laps",354,422,490,558,1.23485344477612,C,4.0
Swimming sidestroke,472,563,654,745,1.64782526567164,B,4.0
Swimming synchronized,472,563,654,745,1.64782526567164,B,4.0
"Swimming, treading water, fast, vigorous",590,704,817,931,2.05944308059702,A,4.0
"Swimming, treading water, moderate",236,281,327,372,0.823235629850746,D,4.0
"Water aerobics, water calisthenics",236,281,327,372,0.823235629850746,D,43.0
Water polo,590,704,817,931,2.05944308059702,A,-1.0
Water volleyball,177,211,245,279,0.61742672238806,D,-1.0
Water jogging,472,563,654,745,1.64782526567164,B,25.0
"Diving, springboard or platform",177,211,245,279,0.61742672238806,D,-1.0
"Ice skating, < 9 mph",325,387,449,512,1.13262599402985,C,-1.0
"Ice skating, average speed",413,493,572,651,1.44133935522388,B,-1.0
